locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location
632677,Quan Catering,Truck,194201,03RD ST: 25TH ST to 26TH ST (2900 - 2998) -- WEST --,2920 03RD ST,4295014,4295,14,15MFF-0077,APPROVED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,6015872.066,2101777.398,37.75197163,-122.3879655,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0077&ExportPDF=1&Filename=15MFF-0077_schedule.pdf,,3/17/15 7:45,Mar 16 2015  2:39PM,1,3/15/16 0:00,"(37.7519716426848, -122.387965483791)"
641323,Anas Goodies Catering,Truck,195201,03RD ST: 26TH ST to CESAR CHAVEZ ST (3000 - 3098) -- WEST --,3000 03RD ST,4315008,4315,8,15MFF-0117,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015877.515,2101228.261,37.75046412,-122.3879083,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0117&ExportPDF=1&Filename=15MFF-0117_schedule.pdf,,5/7/15 12:58,Apr  9 2015  4:06PM,1,3/15/16 0:00,"(37.7504641293319, -122.387908325892)"
641308,Anas Goodies Catering,Truck,196000,03RD ST: CESAR CHAVEZ ST to MARIN ST (3100 - 3199),3150 03RD ST,4355006,4355,6,15MFF-0117,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015847.697,2100856.956,37.74944294,-122.3879855,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0117&ExportPDF=1&Filename=15MFF-0117_schedule.pdf,,5/7/15 12:58,Apr  9 2015  4:06PM,1,3/15/16 0:00,"(37.7494429514107, -122.387985532494)"
641320,Anas Goodies Catering,Truck,197101,03RD ST: MARIN ST to ARTHUR AVE \ CARGO WAY (3201 - 3399) -- EAST --,3305 03RD ST,4502A002,4502A,2,15MFF-0117,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6018751.714,2098754.754,37.74383117,-122.3777974,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0117&ExportPDF=1&Filename=15MFF-0117_schedule.pdf,,5/7/15 12:58,Apr  9 2015  4:06PM,1,3/15/16 0:00,"(37.7438311859485, -122.377797368952)"
641325,Anas Goodies Catering,Truck,197101,03RD ST: MARIN ST to ARTHUR AVE \ CARGO WAY (3201 - 3399) -- EAST --,3255 03RD ST,4377001,4377,1,15MFF-0117,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6016160.221,2100487.333,37.74844534,-122.386879,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0117&ExportPDF=1&Filename=15MFF-0117_schedule.pdf,,5/7/15 12:58,Apr  9 2015  4:06PM,1,3/15/16 0:00,"(37.748445352649, -122.38687903197)"
645808,Natan's Catering,Truck,197101,03RD ST: MARIN ST to ARTHUR AVE \ CARGO WAY (3201 - 3399) -- EAST --,3201 03RD ST,4377001,4377,1,15MFF-0119,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016160.221,2100487.333,37.74844534,-122.386879,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0119&ExportPDF=1&Filename=15MFF-0119_schedule.pdf,,4/16/15 10:44,Apr 16 2015 10:37AM,1,3/15/16 0:00,"(37.748445352649, -122.38687903197)"
632683,Quan Catering,Truck,198101,03RD ST: ARTHUR AVE \ CARGO WAY to BURKE AVE (3401 - 3499) -- EAST --,3433 03RD ST,5203023,5203,23,15MFF-0077,APPROVED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,,,,,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0077&ExportPDF=1&Filename=15MFF-0077_schedule.pdf,,3/17/15 7:45,Mar 16 2015  2:39PM,1,3/15/16 0:00,
632707,Park's Catering,Truck,198201,03RD ST: ARTHUR AVE \ CARGO WAY to BURKE AVE (3400 - 3498) -- WEST --,3450 03RD ST,5211029,5211,29,15MFF-0079,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6015874.731,2099503.899,37.74572922,-122.3877977,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0079&ExportPDF=1&Filename=15MFF-0079_schedule.pdf,,3/17/15 7:45,Mar 16 2015  2:51PM,1,3/15/16 0:00,"(37.7457292355024, -122.387797650827)"
632704,Park's Catering,Truck,202101,03RD ST: EVANS AVE to FAIRFAX AVE (3801 - 3899) -- EAST --,3801 03RD ST,5242002,5242,2,15MFF-0079,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6015841.555,2097791.762,37.74102621,-122.3877929,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0079&ExportPDF=1&Filename=15MFF-0079_schedule.pdf,,3/17/15 7:45,Mar 16 2015  2:51PM,1,3/15/16 0:00,"(37.7410262216072, -122.387792927984)"
641300,Anas Goodies Catering,Truck,226201,03RD ST: EGBERT AVE to FITZGERALD AVE (6000 - 6170) -- WEST --,6000 03RD ST,5431A001U,5431A,001U,15MFF-0117,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6013371.112,2091633.565,37.7239799,-122.3959035,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0117&ExportPDF=1&Filename=15MFF-0117_schedule.pdf,,5/7/15 12:58,Apr  9 2015  4:06PM,1,3/15/16 0:00,"(37.7239799177279, -122.395903454903)"
633737,"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs",Push Cart,24892000,04TH ST: ELLIS ST \ MARKET ST \ STOCKTON ST intersection,800 MARKET ST,329001,329,1,15MFF-0098,APPROVED,Soft pretzels: hot dogs: sausages: chips: popcorn: sodea: coffee: espresso: cappucino: pastries: ice cream: Italian sausages: shish-ka-bob: churros: juice: water: various drinks.,6010729.654,2114081.536,37.78546975,-122.4066158,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0098&ExportPDF=1&Filename=15MFF-0098_schedule.pdf,,3/20/15 11:00,Mar 20 2015 10:40AM,1,3/15/16 0:00,"(37.7854697602654, -122.406615761063)"
624185,"Off the Grid Services, LLC",Truck,254000,04TH ST: HOWARD ST to CLEMENTINA ST (200 - 267),250 04TH ST,3733008,3733,8,15MFF-0011,APPROVED,everything except for hot dogs,6012012.497,2112922.911,37.78236012,-122.402096,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0011&ExportPDF=1&Filename=15MFF-0011_schedule.pdf,,2/25/15 14:33,Feb 25 2015  1:56PM,0,3/15/16 0:00,"(37.782360134796, -122.402095994553)"
631760,Steve's Mobile Deli,Truck,258000,04TH ST: CLARA ST to HARRISON ST \ I-80 W ON RAMP (368 - 427),390 04TH ST,3752011A,3752,011A,15MFF-0064,APPROVED,Cold Truck: Pre-packaged sandwiches: Burgers: Hot Dogs: Muffin Sandwiches: Enchiladas: Bagels: Burritos: Salads: Snacks: Beverages,6012592.22,2112350.039,37.78081949,-122.4000502,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0064&ExportPDF=1&Filename=15MFF-0064_schedule.pdf,,3/13/15 13:40,Mar 13 2015  1:36PM,1,3/15/16 0:00,"(37.7808195007795, -122.400050152129)"
632106,"Kabob Trolley, LLC",Push Cart,267001,04TH ST: TOWNSEND ST to KING ST (700 - 799),298 KING ST,8702606,8702,606,15MFF-0075,APPROVED,Gyros: Kebobs: refreshments and dessert,6014485.063,2111154.518,37.77764221,-122.3934181,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0075&ExportPDF=1&Filename=15MFF-0075_schedule.pdf,,3/16/15 14:02,Mar 16 2015  1:56PM,0,3/15/16 0:00,"(37.7776422222931, -122.393418145922)"
654049,Betty McGee Creole,Truck,19983000,04TH ST: MISSION ROCK ST to CHINA BASIN ST (1200 - 1299),1201 04TH ST,8711028,8711,28,15MFF-0129,APPROVED,Cajun: PoBoy Sandwiches: Salmon: Shrimp: Catfish: Oysters: Sausages: Gumbo: Fries: Salad: Pies: Cookies: Cake: Chips: Beignets: Waffles: Beverages,,,,,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0129&ExportPDF=1&Filename=15MFF-0129_schedule.pdf,,5/11/15 11:09,May 11 2015 10:59AM,0,3/15/16 0:00,
639727,May Catering,Truck,19984000,04TH ST: CHINA BASIN ST to MISSION BAY BLVD (1300 - 1399),1322 04TH ST,1758 035,1758,35,15MFF-0116,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,5994967.667,2106540.921,37.76387076,-122.4606006,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0116&ExportPDF=1&Filename=15MFF-0116_schedule.pdf,,4/7/15 14:40,Apr  7 2015  2:31PM,1,3/15/16 0:00,"(37.7638707739625, -122.460600563868)"
633501,DO UC US Mobile Catering,Truck,19986000,04TH ST: MISSION BAY BLVD to NELSON RISING LN (1400 - 1499),1420 04TH ST,8716001,8716,1,15MFF-0096,APPROVED,Cold truck: sandwiches: salads: beverages: chips: candy: cookies: coffee: tea: drinks,6015098.414,2108321.616,37.76989775,-122.3910983,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0096&ExportPDF=1&Filename=15MFF-0096_schedule.pdf,,3/19/15 11:10,Mar 19 2015 11:04AM,1,3/15/16 0:00,"(37.7698977626866, -122.391098279625)"
629949,Eva's Catering,Truck,305000,05TH ST: WELSH ST to BRANNAN ST (530 - 599),530 05TH ST,3778001B,3778,001B,15MFF-0054,APPROVED,Cold Truck: Burrito: Corn Dog: Salads: Sandwiches: Quesadilla: Tacos: Fried Rice: Cow Mein: Chinese Rice: Noodle Plates: Soup: Bacon: Eggs: Ham: Avacado: Sausages: Beverages,6012502.558,2110915.797,37.77687639,-122.4002596,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0054&ExportPDF=1&Filename=15MFF-0054_schedule.pdf,,3/26/15 15:58,Mar 11 2015  3:47PM,1,3/15/16 0:00,"(37.7768764025604, -122.400259575192)"
624189,"Off the Grid Services, LLC",Truck,307000,05TH ST: BLUXOME ST to TOWNSEND ST (650 - 699),670 05TH ST,3785002,3785,2,15MFF-0013,APPROVED,Everything,6013152.64,2110433.77,37.77558908,-122.3979769,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0013&ExportPDF=1&Filename=15MFF-0013_schedule.pdf,,2/25/15 14:12,Feb 25 2015  2:01PM,0,3/15/16 0:00,"(37.7755890937444, -122.397976906371)"
629204,Linda's Catering,Truck,358000,07TH AVE: LINCOLN WAY to HUGO ST (1200 - 1246),1219 07TH AVE,1743003,1743,3,15MFF-0047,APPROVED,Hot Dogs: Hamburgers: Nachos: Steaks: Pastas: Asian Dishes: Tri-Tip Sandwiches: Sodas & Water,5993824.943,2107157.162,37.76549699,-122.4645976,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0047&ExportPDF=1&Filename=15MFF-0047_schedule.pdf,,5/1/15 15:45,Mar 10 2015  4:16PM,1,3/15/16 0:00,"(37.765497001414, -122.464597619561)"
631705,Munch A Bunch,Truck,373000,07TH ST: CLEVELAND ST to HARRISON ST (314 - 399),355 07TH ST,3754 018,3754,18,15MFF-0062,APPROVED,Cold Truck: packaged sandwiches: pitas: breakfast: cold and hot drinks: snacks,6010570.267,2110774.843,37.77638143,-122.4069341,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0062&ExportPDF=1&Filename=15MFF-0062_schedule.pdf,,6/12/15 12:20,Mar 13 2015 12:08PM,1,3/15/16 0:00,"(37.7763814397779, -122.406934051616)"
645788,Natan's Catering,Truck,381000,07TH ST: HOOPER ST to IRWIN ST (1100 - 1199),1140 07TH ST,3820002,3820,2,15MFF-0119,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6012967.316,2107764.443,37.76824939,-122.3984307,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0119&ExportPDF=1&Filename=15MFF-0119_schedule.pdf,,4/16/15 10:44,Apr 16 2015 10:37AM,1,3/15/16 0:00,"(37.7682494005857, -122.398430650204)"
